iter	Passed	Remaining
0	20	20461
1	37	18686
2	54	18087
3	71	17876
4	89	17837
5	106	17568
6	122	17311
7	138	17124
8	154	17007
9	171	16973
10	188	16976
11	204	16851
12	220	16775
13	237	16722
14	253	16649
15	269	16585
16	285	16518
17	303	16578
18	322	16657
19	342	16765
20	355	16592
21	371	16526
22	387	16452
23	403	16400
24	418	16338
25	434	16283
26	450	16223
27	466	16181
28	481	16138
29	498	16129
30	515	16108
31	531	16066
32	547	16037
33	564	16051
34	587	16205
35	605	16224
36	624	16244
37	643	16286
38	658	16234
39	676	16230
40	694	16242
41	713	16283
42	733	16331
43	765	16626
44	795	16880
45	825	17129
46	852	17278
47	883	17531
48	915	17763
49	945	17973
50	975	18148
51	1006	18343
52	1038	18563
53	1068	18718
54	1099	18890
55	1133	19106
56	1170	19372
57	1204	19568
58	1232	19652
59	1263	19797
60	1295	19937
61	1330	20125
62	1361	20247
63	1393	20375
64	1423	20480
65	1452	20559
66	1483	20661
67	1512	20736
68	1547	20875
69	1581	21012
70	1610	21075
71	1640	21147
72	1669	21205
73	1702	21299
74	1732	21369
75	1765	21460
76	1794	21511
77	1822	21543
78	1854	21618
79	1884	21668
80	1913	21711
81	1944	21772
82	1983	21910
83	2013	21959
84	2044	22008
85	2073	22033
86	2103	22076
87	2134	22121
88	2163	22147
89	2195	22200
90	2225	22234
91	2256	22266
92	2286	22300
93	2320	22364
94	2351	22402
95	2385	22463
96	2418	22510
97	2448	22537
98	2479	22566
99	2510	22591
100	2540	22615
101	2569	22625
102	2599	22638
103	2631	22671
104	2662	22694
105	2692	22706
106	2723	22732
107	2754	22747
108	2788	22796
109	2820	22819
110	2848	22810
111	2877	22811
112	2908	22831
113	2938	22836
114	2969	22850
115	2998	22852
116	3031	22879
117	3058	22863
118	3089	22873
119	3121	22894
120	3154	22918
121	3184	22914
122	3212	22902
123	3243	22916
124	3288	23016
125	3320	23029
126	3350	23034
127	3382	23043
128	3414	23055
129	3439	23018
130	3467	23004
131	3499	23010
132	3530	23012
133	3559	23006
134	3588	22990
135	3617	22982
136	3648	22984
137	3683	23008
138	3712	22997
139	3742	22987
140	3773	22986
141	3799	22960
142	3829	22947
143	3856	22927
144	3885	22908
145	3916	22909
146	3945	22895
147	3977	22894
148	4004	22869
149	4036	22871
150	4065	22856
151	4106	22910
152	4131	22873
153	4160	22852
154	4189	22838
155	4219	22827
156	4246	22802
157	4279	22806
158	4312	22807
159	4342	22799
160	4373	22792
161	4404	22783
162	4432	22761
163	4461	22740
164	4501	22778
165	4531	22767
166	4563	22760
167	4588	22724
168	4621	22724
169	4651	22710
170	4683	22703
171	4712	22683
172	4737	22648
173	4769	22640
174	4799	22625
175	4827	22602
176	4856	22579
177	4885	22561
178	4921	22574
179	4952	22560
180	4983	22551
181	5013	22535
182	5045	22524
183	5076	22512
184	5107	22501
185	5137	22482
186	5166	22459
187	5197	22448
188	5229	22439
189	5262	22432
190	5302	22461
191	5341	22480
192	5370	22457
193	5397	22425
194	5427	22404
195	5457	22388
196	5487	22367
197	5515	22341
198	5546	22326
199	5575	22302
200	5606	22286
201	5637	22270
202	5667	22250
203	5697	22230
204	5734	22238
205	5762	22209
206	5791	22186
207	5820	22164
